Country Code,Country,Region
PER,Peru,Americas
PHL,Philippines,Western Pacific
POL,Poland,Europe
PRT,Portugal,Europe
QAT,Qatar,Eastern Mediterranean
KOR,Republic of Korea,Western Pacific
MDA,Republic of Moldova,Europe
ROU,Romania,Europe
RUS,Russian Federation,Europe
RWA,Rwanda,Africa
KNA,Saint Kitts and Nevis,Americas
LCA,Saint Lucia,Americas
VCT,Saint Vincent and the Grenadines,Americas
WSM,Samoa,Western Pacific
SMR,San Marino,Europe
STP,Sao Tome and Principe,Africa
SAU,Saudi Arabia,Eastern Mediterranean
SEN,Senegal,Africa
SRB,Serbia,Europe
SYC,Seychelles,Africa
SLE,Sierra Leone,Africa
SGP,Singapore,Western Pacific
SVK,Slovakia,Europe
SVN,Slovenia,Europe
SLB,Solomon Islands,Western Pacific
SOM,Somalia,Eastern Mediterranean
ZAF,South Africa,Africa
ESP,Spain,Europe
LKA,Sri Lanka,South-East Asia
SDN,Sudan,Eastern Mediterranean
SUR,Suriname,Americas
SWZ,Eswatini,Africa
SWE,Sweden,Europe
CHE,Switzerland,Europe
SYR,Syrian Arab Republic,Eastern Mediterranean
TJK,Tajikistan,Europe
THA,Thailand,South-East Asia
MKD,North Macedonia,Europe
TLS,Timor-Leste,South-East Asia
TGO,Togo,Africa
TON,Tonga,Western Pacific
TTO,Trinidad and Tobago,Americas
TUN,Tunisia,Eastern Mediterranean
TUR,Turkiye,Europe
TKM,Turkmenistan,Europe
TUV,Tuvalu,Western Pacific
UGA,Uganda,Africa
UKR,Ukraine,Europe
ARE,United Arab Emirates,Eastern Mediterranean
GBR,United Kingdom of Great Britain and Northern Ireland,Europe
TZA,United Republic of Tanzania,Africa
USA,United States of America,Americas
URY,Uruguay,Americas
UZB,Uzbekistan,Europe
VUT,Vanuatu,Western Pacific
VEN,Venezuela (Bolivarian Republic of),Americas
VNM,Viet Nam,Western Pacific
YEM,Yemen,Eastern Mediterranean
ZMB,Zambia,Africa
ZWE,Zimbabwe,Africa
MNE,Montenegro,Europe
PSE,"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean
SSD,South Sudan,Africa
